,업종,폐업률(%),개업률(%)
0,소매,36.27941799261903,12.808800693730213
1,음식,40.70704718957933,33.6978445476491
2,관광/여가/오락,53.76869171770679,12.241350769740109
3,숙박,26.240398588332987,11.556293682098124
4,스포츠/운동,40.98239384524338,15.312916111850866
