,업종,폐업률(%),개업률(%)
0,소매,15.136655796778953,22.30484775414094
1,음식,18.30421074596319,34.871928264964566
2,관광/여가/오락,12.495814638719613,34.109020290631484
3,숙박,13.761252446183953,27.013698630136986
4,스포츠/운동,11.595287076865532,37.12362072190013
